,1. open,2. high,3. low,4. close,5. volume
2018-12-28,1059.5000,1064.2300,1042.0000,1046.6800,1718352
2018-12-27,1026.2000,1053.3400,1007.0000,1052.9000,2299806
2018-12-26,997.9900,1048.4500,992.6450,1047.8500,2315862
2018-12-24,984.3200,1012.1200,977.6599,984.6700,1817955
2018-12-21,1032.0400,1037.6700,981.1900,991.2500,5232490
2018-12-20,1026.0000,1047.4400,1007.8600,1023.5800,2683670
2018-12-19,1047.2900,1075.7100,1019.4300,1035.4600,2913237
2018-12-18,1034.0000,1059.6900,1030.4800,1043.4100,2182019
2018-12-17,1047.0100,1062.3800,1016.6300,1025.6500,2496551
2018-12-14,1060.0200,1071.7200,1049.3700,1051.7100,1817949
2018-12-13,1075.6700,1088.4200,1064.9900,1073.5400,1249403
2018-12-12,1077.0800,1091.7300,1071.9700,1073.7300,1447973
2018-12-11,1066.9400,1070.4000,1050.1000,1061.6500,1692576
2018-12-10,1042.9400,1059.6000,1033.0000,1053.1800,1682646
2018-12-07,1072.2300,1085.0300,1039.3700,1046.5800,2134111
2018-12-06,1045.0000,1079.4200,1042.4800,1078.0800,2371825
2018-12-04,1112.9900,1114.2400,1060.7800,1062.4700,2281485
2018-12-03,1132.1600,1135.0000,1111.7300,1116.3600,2876449
2018-11-30,1095.6300,1109.6500,1083.1800,1109.6500,2983340
2018-11-29,1083.5300,1100.1500,1082.0000,1094.5800,1550523
2018-11-28,1057.4600,1092.8600,1042.9500,1091.7900,2302121
2018-11-27,1051.3400,1066.7600,1045.5000,1052.2800,1652433
2018-11-26,1044.0000,1057.0000,1039.7700,1055.9400,1577941
2018-11-23,1033.5000,1043.0000,1028.5200,1030.1000,708859
2018-11-21,1045.3100,1054.7000,1039.4500,1043.4300,1485172
2018-11-20,1007.2900,1037.3500,1002.2100,1030.4500,2722934
2018-11-19,1063.3900,1068.0000,1022.8700,1027.4200,2284191
2018-11-16,1065.2300,1072.4400,1054.9000,1068.2700,1768308
2018-11-15,1051.4600,1078.8700,1041.2900,1071.0500,2079154
2018-11-14,1060.0000,1065.7900,1041.1100,1054.5800,1733302
2018-11-13,1054.8100,1066.6600,1040.4000,1047.9700,1287475
2018-11-12,1073.1300,1074.1000,1040.3500,1049.3600,1700091
2018-11-09,1084.0200,1088.3500,1064.2600,1077.0200,1743298
2018-11-08,1107.3000,1108.2200,1084.3600,1094.6300,1685193
2018-11-07,1083.4900,1109.9300,1080.5900,1108.2400,2169392
2018-11-06,1055.0200,1079.8200,1053.6100,1069.5700,1433013
2018-11-05,1072.5300,1073.3500,1034.0000,1055.7300,2267870
2018-11-02,1089.0000,1098.0000,1067.6600,1071.4900,2172215
2018-11-01,1091.4000,1099.9000,1077.8200,1085.9800,2006575
2018-10-31,1068.2000,1108.0000,1068.2000,1090.5800,3545821
2018-10-30,1020.0100,1050.9000,1013.9700,1049.5100,2988418
2018-10-29,1096.5400,1108.8300,1007.2000,1034.7300,4064452
2018-10-26,1048.3300,1117.0000,1042.2300,1083.7500,5321883
2018-10-25,1080.3000,1117.8200,1075.5500,1103.5900,3647814
2018-10-24,1115.0000,1116.6200,1055.0600,1057.1200,2464295
2018-10-23,1091.2900,1118.0000,1079.0100,1114.9100,1884255
2018-10-22,1112.5100,1121.6900,1100.0000,1111.3700,1355842
2018-10-19,1103.7100,1120.9500,1097.0300,1105.1800,2064289
2018-10-18,1130.0000,1132.3500,1086.3400,1097.9100,2307596
2018-10-17,1140.0000,1147.0000,1114.0000,1127.5900,1782614
2018-10-16,1113.4800,1136.3700,1111.7500,1133.0800,1918879
2018-10-15,1118.0000,1121.8000,1098.2200,1102.4400,1503956
2018-10-12,1119.6400,1125.8300,1095.0300,1120.5400,2468920
2018-10-11,1079.0400,1116.0600,1075.8900,1090.7400,3384775
2018-10-10,1136.4000,1137.0200,1091.5100,1092.1600,2949006
2018-10-09,1151.3100,1161.5500,1144.1700,1145.1700,1684728
2018-10-08,1160.0000,1175.8600,1135.4000,1155.9200,2309539
2018-10-05,1176.0000,1182.0000,1154.3200,1167.8300,1593012
2018-10-04,1205.0300,1205.9000,1163.8500,1177.0700,2328778
2018-10-03,1212.0000,1214.1800,1202.1500,1211.5300,1312686
2018-10-02,1206.6700,1224.5200,1199.6600,1207.6400,2008956
2018-10-01,1213.0000,1224.2000,1203.1900,1208.5300,1659364
2018-09-28,1204.0900,1208.4500,1197.8300,1207.0800,1780759
2018-09-27,1200.0000,1216.8600,1198.0500,1207.3600,1813652
2018-09-26,1193.6900,1207.2400,1185.4000,1194.0600,1882524
2018-09-25,1184.2500,1196.8600,1174.0900,1193.8900,1657809
2018-09-24,1159.4100,1185.1900,1151.5000,1179.5600,1557479
2018-09-21,1194.9200,1196.5800,1172.0600,1172.1200,4561119
2018-09-20,1180.6700,1194.0000,1176.2500,1191.5700,1462455
2018-09-19,1168.9600,1176.2700,1158.6200,1174.2700,1298084
2018-09-18,1162.6600,1181.3300,1161.4200,1167.1100,1615701
2018-09-17,1177.7700,1181.8200,1158.4500,1159.8300,1704790
2018-09-14,1188.0000,1188.0000,1173.5200,1177.9800,1208767
2018-09-13,1179.7000,1187.8600,1169.2200,1182.1400,2003418
2018-09-12,1182.0000,1190.6900,1166.1600,1171.6000,1785833
2018-09-11,1171.1000,1190.9400,1165.9500,1189.9900,1462688
2018-09-10,1184.2000,1186.6600,1170.6100,1175.0600,1383938
2018-09-07,1172.0000,1188.5500,1169.2700,1177.5900,1633190
2018-09-06,1198.5700,1198.9900,1163.6100,1183.9900,2342722
2018-09-05,1209.2200,1214.8700,1175.3400,1199.1000,2699394
2018-09-04,1222.5200,1227.8700,1206.5600,1211.3100,2072869
2018-08-31,1252.2100,1252.5500,1225.7500,1231.8000,2115424
2018-08-30,1263.4000,1269.4900,1247.2100,1254.4400,1505219
2018-08-29,1255.0000,1267.1700,1252.8000,1264.6500,1846615
2018-08-28,1255.9000,1256.5600,1242.9700,1245.8600,1366516
2018-08-27,1244.1400,1257.8700,1240.6800,1256.2700,1428992
2018-08-24,1226.0000,1237.4000,1221.4200,1236.7500,1222653
2018-08-23,1219.8800,1235.1700,1219.3500,1221.1600,1233347
2018-08-22,1214.2200,1226.5300,1213.2200,1221.7500,1114832
2018-08-21,1223.0200,1232.7600,1215.0300,1217.4100,1154093
2018-08-20,1220.6600,1225.9100,1208.7000,1221.9500,1111173
2018-08-17,1222.0400,1226.9500,1204.0000,1215.8500,1654629
2018-08-16,1241.9900,1243.7000,1219.6300,1224.0600,1608799
2018-08-15,1244.2800,1251.9800,1226.2400,1232.2200,1852558
2018-08-14,1252.5000,1260.5900,1239.5400,1258.1400,1403991
2018-08-13,1251.2000,1265.9700,1247.0300,1248.6400,1380882
2018-08-10,1259.1800,1261.2000,1247.1600,1252.5100,1334387
2018-08-09,1262.7300,1271.9600,1260.1000,1264.4600,1366318
2018-08-08,1256.7200,1271.7200,1252.1200,1261.3300,1718664
2018-08-07,1252.0100,1266.0800,1251.8000,1255.8400,2125256
2018-08-06,1241.6100,1242.4600,1230.5300,1237.6700,1105916
2018-08-03,1245.1800,1246.5200,1229.4200,1238.1600,1063244
2018-08-02,1218.5000,1244.4100,1218.0600,1241.1300,1735180
2018-08-01,1239.1100,1245.9000,1224.9400,1232.9900,1849740
2018-07-31,1231.7100,1241.2100,1216.1900,1227.2200,1969111
2018-07-30,1245.0500,1252.8900,1224.1700,1230.0400,2194837
2018-07-27,1289.1200,1291.4400,1244.4900,1252.8900,2418090
2018-07-26,1267.1800,1287.4000,1263.0000,1285.5000,2734302
2018-07-25,1252.6200,1278.2400,1249.0500,1275.9400,2575437
2018-07-24,1271.0000,1275.0000,1244.1400,1258.1500,5380032
2018-07-23,1195.6600,1215.1000,1192.0100,1211.0000,3272304
2018-07-20,1199.2400,1210.7700,1196.5900,1197.8800,1898376
2018-07-19,1206.6500,1216.4800,1197.7300,1199.1000,1916892
2018-07-18,1208.5300,1221.5900,1204.5600,1212.9100,1947397
2018-07-17,1182.7400,1218.7600,1182.0000,1213.0800,2008133
2018-07-16,1203.8100,1208.7100,1193.4000,1196.5100,1339237
2018-07-13,1202.8000,1210.4400,1195.2900,1204.4200,1631857
2018-07-12,1174.8600,1201.9900,1173.1000,1201.2600,2207431
2018-07-11,1155.6200,1180.4400,1155.3700,1171.4600,1662633
2018-07-10,1169.9900,1173.5000,1162.5600,1167.1400,1066704
2018-07-09,1160.0000,1167.9300,1157.2300,1167.2800,1079201
2018-07-06,1141.7700,1156.2000,1137.2400,1155.0800,1090967
2018-07-05,1124.6000,1144.1400,1123.1200,1141.2900,1429710
2018-07-03,1149.4200,1149.9100,1114.4300,1116.2800,822394
2018-07-02,1115.3500,1142.9900,1106.6000,1142.1100,1161040
2018-06-29,1132.3100,1141.3600,1127.0200,1129.1900,1578116
2018-06-28,1112.3900,1134.0000,1106.0700,1126.7800,1486675
2018-06-27,1136.0000,1146.2100,1116.7000,1116.9400,1726866
2018-06-26,1144.1400,1146.8700,1129.0000,1132.6200,1734414
2018-06-25,1155.0000,1155.9900,1119.9000,1139.2800,2884131
2018-06-22,1171.4900,1175.0000,1159.6500,1169.2900,1711003
2018-06-21,1185.5100,1190.3300,1163.4800,1169.4400,2248277
2018-06-20,1183.3000,1201.4900,1182.0300,1184.0700,2584260
2018-06-19,1170.1100,1182.8100,1161.6100,1178.6900,2364127
2018-06-18,1152.6900,1184.1300,1151.0000,1183.5800,1651913
2018-06-15,1159.9200,1163.9100,1153.6900,1159.2700,2221891
2018-06-14,1152.2100,1165.9900,1150.6000,1160.1100,1771120
2018-06-13,1152.2800,1155.6400,1143.3800,1144.2300,1715074
2018-06-12,1141.0200,1148.7500,1141.0200,1148.1900,1304612
2018-06-11,1132.9400,1147.7400,1131.4000,1140.9000,1239770
2018-06-08,1131.2100,1138.7800,1123.2300,1132.7100,1364226
2018-06-07,1144.5800,1145.8700,1126.1200,1134.4200,1805388
2018-06-06,1152.7700,1154.7100,1136.3200,1146.9500,1746719
2018-06-05,1154.6600,1161.1000,1147.4600,1151.0200,1648222
2018-06-04,1138.5000,1157.8600,1137.0000,1153.0400,2237701
2018-06-01,1112.8700,1138.1600,1112.0100,1135.0000,3160100
2018-05-31,1082.0000,1110.0000,1078.0000,1100.0000,3968362
2018-05-30,1073.4800,1078.9900,1066.5500,1077.4700,1434282
2018-05-29,1076.0000,1081.3400,1063.0800,1068.0700,1803805
2018-05-25,1086.5500,1089.5700,1082.6000,1084.0800,1111161
2018-05-24,1086.9000,1087.1200,1072.3000,1085.4500,1030194
2018-05-23,1070.0000,1088.0000,1066.9600,1085.9600,1186998
2018-05-22,1089.8000,1091.8000,1072.2600,1075.3100,1111299
2018-05-21,1079.0000,1093.3000,1078.0000,1084.0100,1258999
2018-05-18,1066.0000,1073.7300,1064.6800,1069.6400,1774149
2018-05-17,1081.4600,1091.0000,1076.4200,1081.2600,1286907
2018-05-16,1085.0900,1094.3800,1081.6300,1084.0900,1281406
2018-05-15,1096.9000,1099.1200,1078.7800,1084.8700,1786926
2018-05-14,1105.5700,1118.1500,1104.8000,1106.6000,1966893
2018-05-11,1100.4100,1109.0100,1097.2200,1103.3800,1525218
